Kanji			Basic			Definetion
行く			いく			To go
帰る			かえる			To return; to go back 
聞く			きく			To hear; To ask
飲む			のむ			To drink
話す			はなす			To speak; to talk
読む			よむ			To read
起きる			おきる			To wake up
食べる			たべる			To eat
寝る			ねる			To sleep
見る			みる			To see
来る			くる			To come
する			する			To do
勉強する		べんきょうする		To study
会う			あう			To meet
ある			ある			To have; to exist
買う			かう			To buy
書く			かく			To write
撮る			とる			To take (a picture)	
待つ			まつ			To wait
わかる			わかる			To understand
いる			いる			To be; to exist; to stay 
泳ぐ			およぐ			To swim
乗る			のる			To get on
やる			やる			To do; to Perform
出かける		でかける		To go out
